Team Member Name,"Genre (Health, Tech, or Politics)",Article Name,Link to Article ,"Key Summary, Notes, and Takeaways "
Maria,Health,Aspirin can reduce the risk of cancer - and we're starting to understand why,https://www.bbc.com/future/article/20260420-cancer-how-aspirin-may-be-a-powerful-new-weapon-against-tumours,"A man, James, who's whole family has faced bowel cancer participated in a clinical trial to test if a dose of aspirin would protect against the cancer. There have been many studies across the world over the last 15 years that have worked to prove that Apirin has reduced both the incidence and spread of cancer. It is unclear if this will work for all cancers, but it has had many positive impacts and in one UK study they found that the Aspirin helps the cancer cells become more visible to the immune system. "
Maria,Health,"New study reveals coffee’s positive gut impacts, even without caffeine",https://www.usatoday.com/story/life/health-wellness/2026/04/22/caffeine-coffee-mood-stress-study/89730420007/,Coffee has been proven by recent research to have a positive effect on gut health. Those in a recent research study who drank coffee reported to have lower stress and depression as well. Coffee also interacted with and improved the participant's the gut microbes which allows them to fight off unhealthy gut bacteria faster) as well as improved their metabolism.
Maria,Politics,Judge bars certification of Virginia redistricting results; state AG promises appeal,https://www.cnn.com/2026/04/22/politics/virginia-redistricting-tazewell-county-certification,"Virginia voters had voted to update their congressional map. This redistricting change is postitive for the Democrats who now are likely to benefit by recieving more Democratic house seats in November's midterm  election. Although, a judge has made efforts to not certify the vote since they claim lawmakers did not follow the proper steps to for this redistricting, there is a current Virgina redistricting case with being processed with the supremem court, and that the language of the ballet was misleading. On the opposite end, others are claiming that Republicans are just upset about the results and that fair election organizations are proving this was fair. "
Maria ,Health,CDC blocks publication of report showing COVID vaccine efficacy,https://www.cidrap.umn.edu/covid-19/cdc-blocks-publication-report-showing-covid-vaccine-efficacy,"The CDC had canceled their upcoming publication. The publication was about the effectiveness of the Covid-19 vaccination in significantly lowering emergency department visits and hospitalizaitons. However, although the paper was already approved by the scientific review process, it was ultimately vetoed by the CDC Director Jay due to concerns about the scientific methodologies used. Although many others believe the choice to cancel the publication had to do with poltical motives and bias of the director himself.  "
Maria,Tech,Tim Cook says Apple Maps release was a 'really big mistake',https://www.usatoday.com/story/tech/news/2026/04/24/tim-cook-apple-maps-mistake/89772184007/,"Tim Cook while reflecting on his tenure in the April 21st Town Hall claims that Apple Maps and other products were a big mistake. He says Apple Maps was not ready, and their team pushed Apple users to use other apps because they were better than Apple Maps. Apple Maps relesaed in 2012 was rushed to meet societal complaints and demands, but when it was released it was very buggy. He claims that they now the best map and they learned from that mistake. Cook is stepping down soon. Additionally, Cook claimed that the unreleased AirPower wireless charging mat and attempts for a self-driving car were also mistakes he had made in leadership. Cook also reflected on his accomplishments and said that there were many but the release of the Apple Watch was his most proud because the Apple Watch can save lives. "
Melody,Tech,Apple’s pick to replace Tim Cook hints at its plans for the AI era,https://edition.cnn.com/2026/04/21/tech/apple-new-ceo-ai-john-ternus,"Apple is betting on the future on AI-integrated hardware as John Ternus, the hardware engineering chief, will be the new CEO starting at September. He is replacing Tim Cook, who led Apple for the past 15 years. Business experts believe that Ternus's biggest challenge as the new leader will be successfully guiding the tech giant through the rapidly growing and competitive world of Artificial Intelligence."
Melody,Business,SpaceX Strikes Deal With Cursor for $60 Billion,https://www.nytimes.com/2026/04/21/business/spacex-cursor-deal.html,"Elon Musk’s space company, SpaceX, is investing heavily in AI by making a massive deal with Cursor, a startup that makes software to help programmers write code. SpaceX agreed to a $10 billion partnership, with an option to buy Cursor completely for $60 billion later this year. The move is designed to strengthen SpaceX's technology and make the company look more valuable before its IPO in June."
Melody,Culture,YouTube clips and a bare stage: How Justin Bieber captivated Coachella — and the internet,https://www.nbcnews.com/pop-culture/pop-culture-news/justin-bieber-coachella-set-internet-youtube-nostalgia-criticism-rcna331538,"Justin Bieber is on Coachella performance last week. He simply sat on stage with a laptop and sang along to his old YouTube videos playing on a giant screen. While many loyal fans found this emotional and nostalgic, critics complained that the highly paid performance was lazy and felt like watching a boring video call."
Melody,Education,Los Angeles becomes the first major school district to require screen time limits,https://www.nbcnews.com/news/education/los-angeles-school-district-require-screen-time-limits-rcna332173,"The Los Angeles Unified School District has become the first major school district in the U.S. to impose limits on student screen time in classrooms. To help students focus, they are completely banning the use of iPads and laptops for first-grade students and younger. The decision comes after parents and teachers raised concerns that having too much technology in the classroom was distracting children, hurting their social skills, and lowering their grades."
Melody,Tech,Anthropic investigating claim of unauthorised access to Mythos AI tool,https://www.bbc.com/news/articles/cy41zejp9pko,"Anthropic is investigating a serious security breach where unauthorized users gained access to a highly dangerous, unreleased AI model ""Mythos."" The attackers reportedly used an outside contractor's account to access the system, which is kept secret because it is capable of severe computer hacking."
Mengyuan,Health,"After a year of turmoil, cancer researchers see promising signs for mRNA vaccines",https://www.cnn.com/2026/04/20/health/cancer-research-mrna-vaccines,"mRNA technology became widely known through the COVID vaccines, but the field has faced a lot of political pushback in recent years including a proposed 40%+ cut to the National Cancer Institute's budget and the cancellation of an mRNA flu vaccine contract. Despite all of that, research seems to still be moving forward. The article follows pancreatic cancer patients who are participating in mRNA cancer vaccine trials."
Mengyuan,Health,"Senators grill RFK Jr. on vaccines, drug prices and more at hearing",https://www.npr.org/2026/04/22/nx-s1-5792840/rfk-jr-senate-house-budget-hearings-vaccines-cdc-medicaid,"RFK Jr. did seven consecutive congressional hearings this week. He described his 15 months leading HHS as having delivered significant results, pointing to things like drug price negotiations and pushing to ban petroleum-based food dyes. Democrats pushed back hard though, repeatedly pressing him on his stance on vaccines. Surprisingly, he came out in clear support of the measles vaccine, which seems against his previous stand."
Mengyuan,Tech,Meta to cut 10% of staff as it pours billions into AI,https://www.cnn.com/2026/04/23/tech/meta-layoffs-10-percent-staff-ai,"Meta announced it is laying off around 8,000 employees (about 10% of its workforce), with cuts taking effect on May 20th. The reason is essentially to redirect money toward AI investments. Zuckerberg had actually hinted at this earlier in the year when he said AI would ""dramatically change the way we work."" Beyond Meta, Microsoft is simultaneously offering voluntary buyouts, and Amazon and Salesforce are also cutting jobs."
Mengyuan,Politics,Trump administration vows crackdown on Chinese firms 'exploiting' U.S. AI models,https://www.npr.org/2026/04/24/g-s1-118582/administration-crackdown-on-chinese-firms-exploiting-u-s-ai-models,"The Trump administration has accused Chinese tech companies of running large-scale campaigns to ""distill"" U.S. AI models. Anthropic has also separately accused DeepSeek and other Chinese AI labs of doing something similar with Claude. There is bipartisan support in Congress for a bill that would sanction those involved. However, experts have pointed out that distinguishing illegal distillation from normal usage will be very difficult, and with Trump's planned visit to Beijing in May, the actual enforcement could end up being shaped by diplomatic considerations."
Mengyuan,Health,"RSV is still spreading, prompting states to extend the immunization period",https://www.cnn.com/2026/04/06/health/rsv-immunization-extended-april,"RSV has been spreading later into the season than usual this year, with a positive test rate of 7.5%, noticeably higher than the same time last year. Because of this, almost every state has extended its RSV immunization window through the end of April. This is especially important because RSV poses the greatest risk to newborns, and around 10,000 babies are born every day in the U.S."
Minfei,Politics,Trump claims Iran’s regime is fractured. The reality is more complicated.,https://www.cnn.com/2026/04/22/middleeast/iran-war-leadership-cohesive-intl-latam,"Despite President Trump's claims that Iran’s leadership is ""seriously fractured"" after it boycotted ceasefire talks in Pakistan, experts argue the Iranian regime is displaying unprecedented cohesion. Following the assassinations of top leaders by U.S. and Israel, the country is now operating under a unified wartime system managed by a diverse group of officials.New Supreme Leader, Mojtaba Khamenei, is reportedly in hiding and incapacitated, forcing subordinates to make decisions autonomously. Iranian officials must navigate external pressure from the U.S. alongside internal pressure from hard-liners who oppose any diplomatic concession that resembles defeat. Currently, Iranian negotiators are refusing to return to the table until the U.S. lifts its blockade on Iranian ports."
Minfei,Tech,"In a race between humans and robots, machines take the victory in a sign of advancements",https://www.nbcnews.com/world/china/humanoid-robots-race-humans-beijing-half-marathon-showing-rapid-advanc-rcna340842,"A bipedal humanoid robot named ""Lightning,"" developed by Chinese tech firm Honor, won the Beijing E-Town Humanoid Robot Half-Marathon, finishing in 50 minutes and 26 seconds. It broke the human world record by nearly seven minutes and outpaced 12,000 human competitors. Last year's winning robot took over two and a half hours, whereas this year, at least four robots finished in under an hour. Furthermore, nearly 40% of the robots completed the course entirely autonomously. The event highlights China's aggressive, state-subsidized push to dominate the global AI and robotics industry as a ""national priority"". The winning team will secure over 1 million yuan in orders. However, developers acknowledge the technology is still maturing; several robots suffered crashes and needed mid-race repairs, illustrating that while the machines have advanced physical capabilities, they still lack matching cognitive intelligence."
Minfei,Politics,Air War in Iran Gives Way to Crippling Stalemate in Hormuz,https://www.wsj.com/world/middle-east/air-war-in-iran-gives-way-to-crippling-stalemate-in-hormuz-4f083808,"The geopolitical conflict between the U.S., Israel, and Iran has settled into a stalemate centered around the closure of the Strait of Hormuz.While direct military bombardments have paused, a ""double blockade"" is disrupting global commerce.The U.S. is blocking Iranian oil exports to force diplomatic concessions, while Iran continues to attack and seize commercial vessels, leading to stalled peace talks. This chokepoint has trapped 10% of the global oil supply, pushing prices above $100 a barrel and sparking fears of global stagflation. The International Monetary Fund warns that prolonged closure could slash global economic growth to 2% by 2026. As a result, Asia faces severe fuel rationing, Europe is grappling with jet-fuel deficits, and the U.S. is battling inflation risks. Furthermore, Gulf states are suffering billions in infrastructure damage and major setbacks to their tourism and technology sectors. Without immediate diplomatic breakthroughs, the crisis threatens to cause disruptions to global supply chains and energy markets"
Minfei,Tech/Politics,The world wants Chinese tech. China is determined to keep it,https://www.economist.com/china/2026/04/20/the-world-wants-chinese-tech-china-is-determined-to-keep-it,"Global focus on technology transfer has shifted from protecting Western tech to concerns over how the rest of the world can acquire advanced Chinese technology,  from EVs to AI robots. Countries are leveraging market access to force local manufacturing and tech sharing. However China is actively resisting these effort through export controls. Chinese government has demonstrated paranoia over its tech leaving the country, as demonstrated by the case of AI startup Manus. Unlike China's top-down strategy in digesting foreign tech, the rest of the world would have to rely on companies themselves to drive the transfer. Moreover, China's tech control might actually accelerate tech transfers, incentivizing innovators to take ideas abroad early on. Ultimately, China still needs Western tech, particularly in the semiconductor industry. This is likely leading to a future of a two-way tech transfer across borders, which both US and China leaders will resist."
Minfei,Politics,"D.H.S. Will Run Out of Money for Paychecks in May, Secretary Says",https://www.nytimes.com/2026/04/21/us/politics/homeland-security-tsa-paychecks-mullin.html,"DHS secritary warns that the agency will run out of money by May if Congress does not reach a deal to end the two month shut down. The department's payroll costs, drawn from Trump's domestic policy bill, exxceeds 1.6 billion dollars every two weeks, and available funding for salaries will dry up after April. 90% of the department's workers are considered essential and are working without pay. Disruption is most visible in airports as thousands of TSA workers are affected by the shutdown. Though the situation at the airport alleviated after TSA employees started receiving pay in late march, a TSA union representative worned that the crisis would be renewed with missed paychecks next months. Other operations of DHS is being affected as well. Crisis is rooted in a prolonged political stalemate in Congress. Some Republicans in the House indicates that they refuse to advance a spending bill without seeing progress toward reconciliation measure to fund immigration enforcement. DHS leaders have blamed Democrats for refusing to fully fund the agency without attaching new restrictions on immigration agents."
Nolan,Health,Trump administration reclassifies cannabis as less dangerous,https://www.bbc.com/news/articles/cdxd0xxp0jko,"Attorney General Todd Blanche announced the reclassification of ""products containing marijuana that are covered by the Food and Drug Administration or that have received a state medical-marijuana licence"" from a Schedule I controlled substance (simiilar to heroin) to Schedule III (similar to Tylenol with coedine). The reclassification is intended to increase research into the medicinal uses of marijuana, though it is expected to be challenged in court. This comes after the Biden administration recommendeda change in classification and after Trump signed an executive order increasing access to psychadelic drugs for medical treatment."
Nolan,Politics,Suspected gunman at White House press dinner named,https://www.theguardian.com/us-news/2026/apr/26/suspected-gunman-white-house-press-dinner-trump-named-cole-tomas-allen,"The gunman suspected to be responsible for the shooting at the White House correspondents' dinner has been identified as Cole Thomas Allen of California. Allen, a 31 year old mechanical engineer and computer scientist, was allegedly seen sprinting through a Secret Service checkpoint before being fired upon by agents. Allen was not hit by gunfire in the exchange and is believed to have rented a room in the hotel. Suspected to be acting alone, the gunman allegedly targeted members of the Trump administration, including the president. Those who know Allen were surprised to learn he was the alleged shooter, recounting his intellignece and gentle nature. Allen was a member of numerous clubs during his time at Caltech and appeared to be well-versed in subjects beyond engineering and computer science."
Nolan,Politics,Trump claims ‘rigged’ Virginia vote as court moves to block redistricting map,https://www.france24.com/en/americas/20260423-trump-claims-rigged-virginia-vote-court-moves-block-map-redraw,"In response to a Virginian vote to redraw congressional districts in a way that favors Democrats, President Trump took to social media to allege that the vote was ""rigged."" The redrawing, which has faced multiple legal challenges, including being blocked by Circuit Court Judge Jack Hurley Jr., could help the Democrats flip up to four Republican seats in the House of Representatives, if the results are certified."
Nolan,Tech,Google Releases Android 17 QPR1 Beta 1 for Pixel,https://www.droid-life.com/2026/04/22/google-releases-android-17-qpr1-beta-1-for-pixel/,"On April 22, 2026 Google released Android 17 QPR1 Beta 1 for its Pixel ecosystem. The beta, which was released earlier than expected, addresses various bugs and can be installed on all Pixel devices that are currently supported. Members of  the Android Beta Program can download the update now."
Nolan,Tech,Massive Motorola Razr 2026 leak leaves nothing to the imagination,https://www.androidauthority.com/motorola-razr-2026-retail-listing-leak-3659685/,"Full details and specs of the upcoming Motorolla Razr 2026 have been leaked, thanks to a Russian retailer prematurely listing the device for sale. While many specs, such as the screen and overall design of the phone are similar to last year's model, key improvements include a larger battery and a newer Dimensity chip. The phone is expected to launch April 29th, 2026. "